metric_name,month,day_of_month,avg_precip_mtd,min_precip_mtd,max_precip_mtd,p10_precip_mtd,p25_precip_mtd,p50_precip_mtd,p75_precip_mtd,p90_precip_mtd
precip,Jul,15,0.17966666666666667,0.0,1.2600000000000002,0.0,0.0,0.04,0.15750000000000003,0.5080000000000007
precip,Jul,16,0.20600000000000002,0.0,1.2600000000000002,0.0,0.0,0.07,0.1775,0.6410000000000007
precip,Jul,17,0.22233333333333336,0.0,1.2600000000000002,0.0,0.0025,0.1,0.235,0.6410000000000007
precip,Jul,18,0.22533333333333336,0.0,1.2600000000000002,0.0,0.01,0.1,0.265,0.6410000000000007
precip,Jul,19,0.23600000000000002,0.0,1.2600000000000002,0.0,0.01,0.11499999999999999,0.3175,0.6410000000000007
precip,Jul,20,0.24233333333333335,0.0,1.2600000000000002,0.0,0.01,0.12,0.3175,0.6470000000000008
precip,Jul,21,0.24633333333333335,0.0,1.2600000000000002,0.0,0.015,0.12,0.3175,0.6470000000000008
precip,Jul,22,0.2753333333333333,0.0,1.2600000000000002,0.0,0.03,0.14500000000000002,0.385,0.7520000000000007
precip,Jul,23,0.28800000000000003,0.0,1.2600000000000002,0.0,0.03,0.14500000000000002,0.385,0.8240000000000005
precip,Jul,24,0.295,0.0,1.2600000000000002,0.009000000000000005,0.0325,0.165,0.385,0.8240000000000005
precip,Jul,25,0.3536666666666667,0.0,1.2600000000000002,0.028000000000000008,0.0725,0.235,0.41750000000000004,1.1320000000000001
precip,Jul,26,0.381,0.0,1.3800000000000001,0.029,0.125,0.30000000000000004,0.48,1.1320000000000001
precip,Jul,27,0.38433333333333336,0.0,1.3800000000000001,0.03,0.125,0.30000000000000004,0.48,1.1320000000000001
precip,Jul,28,0.4083333333333333,0.0,2.34,0.07800000000000001,0.14250000000000002,0.32499999999999996,0.48750000000000004,1.1320000000000001
precip,Jul,29,0.42633333333333334,0.0,2.57,0.07800000000000001,0.14250000000000002,0.32499999999999996,0.5025,1.1320000000000001
precip,Jul,30,0.4313333333333333,0.0,2.57,0.07800000000000001,0.14250000000000002,0.32499999999999996,0.5175000000000001,1.1330000000000002
precip,Jul,31,0.4486666666666667,0.0,2.57,0.07800000000000001,0.15250000000000002,0.33499999999999996,0.5275000000000001,1.1330000000000002
precip,Aug,1,0.04766666666666666,0.0,0.44,0.0,0.0,0.0,0.0075,0.18300000000000002
precip,Aug,2,0.12833333333333333,0.0,1.31,0.0,0.0,0.0,0.12250000000000001,0.431
precip,Aug,3,0.16066666666666668,0.0,1.6400000000000001,0.0,0.0,0.015,0.16249999999999998,0.44
precip,Aug,4,0.18333333333333332,0.0,1.6400000000000001,0.0,0.0,0.05,0.23500000000000001,0.44
precip,Aug,5,0.19366666666666668,0.0,1.6400000000000001,0.0,0.0,0.05,0.3225,0.45700000000000013
precip,Aug,6,0.21733333333333335,0.0,1.6400000000000001,0.0,0.0025,0.05,0.3225,0.531
precip,Aug,7,0.23533333333333334,0.0,1.6400000000000001,0.0,0.0025,0.07,0.3275,0.5700000000000005
precip,Aug,8,0.25033333333333335,0.0,1.6500000000000001,0.0,0.0125,0.07500000000000001,0.35000000000000003,0.5700000000000005
precip,Aug,9,0.257,0.0,1.6500000000000001,0.0,0.0225,0.07500000000000001,0.3575,0.5700000000000005
precip,Aug,10,0.26999999999999996,0.0,1.6500000000000001,0.0,0.03,0.09,0.4275,0.5700000000000005
precip,Aug,11,0.28,0.0,1.6500000000000001,0.009000000000000005,0.035,0.12000000000000001,0.44999999999999996,0.5740000000000005
precip,Aug,12,0.303,0.0,1.6600000000000001,0.009000000000000005,0.035,0.14500000000000002,0.48,0.7270000000000003
precip,Aug,13,0.31966666666666665,0.0,1.6600000000000001,0.009000000000000005,0.052500000000000005,0.14500000000000002,0.52,0.8260000000000002
precip,Aug,14,0.32933333333333337,0.0,1.6600000000000001,0.009000000000000005,0.052500000000000005,0.14500000000000002,0.52,0.8440000000000002
precip,Aug,15,0.337,0.0,1.6600000000000001,0.009000000000000005,0.052500000000000005,0.185,0.52,0.8440000000000002
precip,Aug,16,0.34766666666666673,0.0,1.6600000000000001,0.009000000000000005,0.052500000000000005,0.185,0.5825,0.8440000000000002
precip,Aug,17,0.36966666666666664,0.0,1.9300000000000002,0.02,0.052500000000000005,0.185,0.6150000000000001,0.9010000000000005
precip,Aug,18,0.41166666666666674,0.0,2.1999999999999997,0.029,0.0625,0.185,0.6150000000000001,1.1230000000000002
precip,Aug,19,0.48000000000000004,0.0,2.41,0.029,0.0625,0.195,0.6875,1.1730000000000005
precip,Aug,20,0.51,0.0,2.41,0.029,0.0625,0.315,0.6875,1.2090000000000003
precip,Aug,21,0.5426666666666667,0.0,2.4399999999999995,0.029,0.07750000000000001,0.36,0.6875,1.2090000000000003
precip,Aug,22,0.5796666666666667,0.0,2.57,0.029,0.0925,0.45500000000000007,0.6875,1.3910000000000002
precip,Aug,23,0.5956666666666667,0.0,2.75,0.029,0.0975,0.45500000000000007,0.6875,1.3990000000000005
precip,Aug,24,0.6053333333333334,0.0,2.75,0.029,0.0975,0.47500000000000003,0.7775000000000001,1.3990000000000005
precip,Aug,25,0.6243333333333333,0.0,2.75,0.03900000000000001,0.10500000000000001,0.47500000000000003,0.8150000000000001,1.4140000000000006
precip,Aug,26,0.6313333333333334,0.01,2.75,0.04800000000000001,0.11250000000000002,0.47500000000000003,0.8450000000000001,1.4190000000000007
precip,Aug,27,0.637,0.01,2.75,0.04800000000000001,0.135,0.49000000000000005,0.8475000000000001,1.4280000000000006
precip,Aug,28,0.6393333333333333,0.01,2.75,0.04800000000000001,0.15250000000000002,0.495,0.8475000000000001,1.4280000000000006
precip,Aug,29,0.6393333333333333,0.01,2.75,0.04800000000000001,0.15250000000000002,0.495,0.8475000000000001,1.4280000000000006
precip,Aug,30,0.7043333333333333,0.01,2.75,0.04800000000000001,0.15250000000000002,0.51,0.9125000000000001,1.7750000000000001
precip,Aug,31,0.7456666666666667,0.02,2.75,0.097,0.195,0.5250000000000001,0.9125000000000001,1.7930000000000004
